Name,Team,Age,Position,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,Rating
Patrick van Aanholt,Crystal Palace,33,Defender,36,3198,1.3333333333333333,1.1111111111111112,0.3333333333333333,0.19444444444444445,2.25,0.4444444444444444,0.25,6.712777777777777
Martín Montoya,Brighton,32,Defender,25,2166,2.32,1.92,1.16,0.28,2.52,0.92,0.4,6.7116
Adam Smith,Bournemouth,32,Defender,25,2073,1.84,1.24,0.72,0.16,2.28,0.88,0.28,6.711599999999999
Morgan Schneiderlin,Everton,33,Midfielder,14,835,1.7142857142857142,1.0714285714285714,1.5,0.0,1.0714285714285714,0.5714285714285714,0.21428571428571427,6.709285714285714
Xherdan Shaqiri,Liverpool,31,Midfielder,24,1059,0.5833333333333334,0.25,0.375,0.0,0.25,0.4166666666666667,0.041666666666666664,6.706666666666667
Aaron Ramsey,Arsenal,32,Midfielder,28,1331,1.2142857142857142,0.32142857142857145,0.75,0.03571428571428571,0.10714285714285714,0.6428571428571429,0.03571428571428571,6.70392857142857
Harvey Barnes,Leicester,25,Midfielder,16,1010,0.625,0.1875,0.4375,0.0,0.3125,0.125,0.0625,6.703125000000001
Dan Gosling,Bournemouth,33,Midfielder,25,1738,2.28,0.8,1.16,0.04,1.8,1.0,0.44,6.699200000000002
Juan Mata,Man Utd,35,Midfielder,22,1295,0.4090909090909091,0.2727272727272727,0.45454545454545453,0.0,0.22727272727272727,0.6818181818181818,0.045454545454545456,6.696818181818181
Steve Mounié,Huddersfield,28,Forward,31,1778,0.2903225806451613,0.16129032258064516,1.032258064516129,0.03225806451612903,0.4838709677419355,0.3225806451612903,0.03225806451612903,6.694838709677419
Ben Foster,Watford,40,Goalkeeper,38,3420,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,1.1578947368421053,0.10526315789473684,0.0,6.694736842105263
